
subscriber_type,duration_min
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.97
Customer,2.98
Customer,2.98
Customer,2.98
Customer,2.98
Customer,2.98
Customer,2.98
Customer,2.98
Customer,2.98
Customer,2.98
Customer,2.98
Customer,2.98
Customer,2.98
Customer,2.98
Customer,2.98
Customer,2.98
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.0
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.02
Customer,3.03
Customer,3.03
Customer,3.03
Customer,3.03
Customer,3.03
Customer,3.03
Customer,3.03
Customer,3.03
Customer,3.03
Customer,3.03
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.05
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.07
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.08
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.1
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.12
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
Customer,3.13
